Label (Grouping),        No vehicle available
Census Tract 1048.21; Los Angeles County; California!!Male!!Estimate,8.50%
Census Tract 1048.21; Los Angeles County; California!!Male!!Margin of Error,±8.2
Census Tract 1048.21; Los Angeles County; California!!Female!!Estimate,2.30%
Census Tract 1048.21; Los Angeles County; California!!Female!!Margin of Error,±3.3
Census Tract 1048.22; Los Angeles County; California!!Total!!Estimate,10.70%
Census Tract 1048.22; Los Angeles County; California!!Total!!Margin of Error,±7.0
Census Tract 1048.22; Los Angeles County; California!!Male!!Estimate,9.60%
Census Tract 1048.22; Los Angeles County; California!!Male!!Margin of Error,±8.8
Census Tract 1048.22; Los Angeles County; California!!Female!!Estimate,12.20%
Census Tract 1048.22; Los Angeles County; California!!Female!!Margin of Error,±10.6
Census Tract 1048.23; Los Angeles County; California!!Total!!Estimate,6.10%
Census Tract 1048.23; Los Angeles County; California!!Total!!Margin of Error,±6.9
Census Tract 1048.23; Los Angeles County; California!!Male!!Estimate,1.80%
Census Tract 1048.23; Los Angeles County; California!!Male!!Margin of Error,±2.8
Census Tract 1048.23; Los Angeles County; California!!Female!!Estimate,12.20%
Census Tract 1048.23; Los Angeles County; California!!Female!!Margin of Error,±17.3
Census Tract 1048.24; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1048.24; Los Angeles County; California!!Total!!Margin of Error,±3.3
Census Tract 1048.24; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1048.24; Los Angeles County; California!!Male!!Margin of Error,±5.2
Census Tract 1048.24; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1048.24; Los Angeles County; California!!Female!!Margin of Error,±8.6
Census Tract 1060.10; Los Angeles County; California!!Total!!Estimate,1.20%
Census Tract 1060.10; Los Angeles County; California!!Total!!Margin of Error,±1.8
Census Tract 1060.10; Los Angeles County; California!!Male!!Estimate,2.20%
Census Tract 1060.10; Los Angeles County; California!!Male!!Margin of Error,±3.3
Census Tract 1060.10; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1060.10; Los Angeles County; California!!Female!!Margin of Error,±5.4
Census Tract 1060.20; Los Angeles County; California!!Total!!Estimate,0.80%
Census Tract 1060.20; Los Angeles County; California!!Total!!Margin of Error,±1.4
Census Tract 1060.20; Los Angeles County; California!!Male!!Estimate,1.20%
Census Tract 1060.20; Los Angeles County; California!!Male!!Margin of Error,±2.3
Census Tract 1060.20; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1060.20; Los Angeles County; California!!Female!!Margin of Error,±4.9
Census Tract 1061.11; Los Angeles County; California!!Total!!Estimate,6.60%
Census Tract 1061.11; Los Angeles County; California!!Total!!Margin of Error,±6.0
Census Tract 1061.11; Los Angeles County; California!!Male!!Estimate,5.50%
Census Tract 1061.11; Los Angeles County; California!!Male!!Margin of Error,±5.8
Census Tract 1061.11; Los Angeles County; California!!Female!!Estimate,7.70%
Census Tract 1061.11; Los Angeles County; California!!Female!!Margin of Error,±6.8
Census Tract 1061.12; Los Angeles County; California!!Total!!Estimate,3.60%
Census Tract 1061.12; Los Angeles County; California!!Total!!Margin of Error,±4.9
Census Tract 1061.12; Los Angeles County; California!!Male!!Estimate,3.80%
Census Tract 1061.12; Los Angeles County; California!!Male!!Margin of Error,±5.1
Census Tract 1061.12; Los Angeles County; California!!Female!!Estimate,3.40%
Census Tract 1061.12; Los Angeles County; California!!Female!!Margin of Error,±4.7
Census Tract 1061.13; Los Angeles County; California!!Total!!Estimate,0.40%
Census Tract 1061.13; Los Angeles County; California!!Total!!Margin of Error,±0.7
Census Tract 1061.13; Los Angeles County; California!!Male!!Estimate,0.80%
