Label (Grouping),        No vehicle available
Census Tract 2946.20; Los Angeles County; California!!Male!!Margin of Error,±4.3
Census Tract 2946.20; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 2946.20; Los Angeles County; California!!Female!!Margin of Error,±5.0
Census Tract 2947.01; Los Angeles County; California!!Total!!Estimate,7.60%
Census Tract 2947.01; Los Angeles County; California!!Total!!Margin of Error,±5.0
Census Tract 2947.01; Los Angeles County; California!!Male!!Estimate,5.10%
Census Tract 2947.01; Los Angeles County; California!!Male!!Margin of Error,±3.8
Census Tract 2947.01; Los Angeles County; California!!Female!!Estimate,10.80%
Census Tract 2947.01; Los Angeles County; California!!Female!!Margin of Error,±8.3
Census Tract 2948.10; Los Angeles County; California!!Total!!Estimate,2.30%
Census Tract 2948.10; Los Angeles County; California!!Total!!Margin of Error,±2.4
Census Tract 2948.10; Los Angeles County; California!!Male!!Estimate,1.10%
Census Tract 2948.10; Los Angeles County; California!!Male!!Margin of Error,±1.6
Census Tract 2948.10; Los Angeles County; California!!Female!!Estimate,3.50%
Census Tract 2948.10; Los Angeles County; California!!Female!!Margin of Error,±4.0
Census Tract 2948.20; Los Angeles County; California!!Total!!Estimate,12.60%
Census Tract 2948.20; Los Angeles County; California!!Total!!Margin of Error,±7.8
Census Tract 2948.20; Los Angeles County; California!!Male!!Estimate,5.60%
Census Tract 2948.20; Los Angeles County; California!!Male!!Margin of Error,±6.6
Census Tract 2948.20; Los Angeles County; California!!Female!!Estimate,23.10%
Census Tract 2948.20; Los Angeles County; California!!Female!!Margin of Error,±14.5
Census Tract 2948.30; Los Angeles County; California!!Total!!Estimate,5.00%
Census Tract 2948.30; Los Angeles County; California!!Total!!Margin of Error,±4.2
Census Tract 2948.30; Los Angeles County; California!!Male!!Estimate,4.20%
Census Tract 2948.30; Los Angeles County; California!!Male!!Margin of Error,±4.0
Census Tract 2948.30; Los Angeles County; California!!Female!!Estimate,6.10%
Census Tract 2948.30; Los Angeles County; California!!Female!!Margin of Error,±5.6
Census Tract 2949; Los Angeles County; California!!Total!!Estimate,3.50%
Census Tract 2949; Los Angeles County; California!!Total!!Margin of Error,±3.7
Census Tract 2949; Los Angeles County; California!!Male!!Estimate,5.00%
Census Tract 2949; Los Angeles County; California!!Male!!Margin of Error,±5.8
Census Tract 2949; Los Angeles County; California!!Female!!Estimate,1.60%
Census Tract 2949; Los Angeles County; California!!Female!!Margin of Error,±3.1
Census Tract 2951.03; Los Angeles County; California!!Total!!Estimate,3.40%
Census Tract 2951.03; Los Angeles County; California!!Total!!Margin of Error,±3.2
Census Tract 2951.03; Los Angeles County; California!!Male!!Estimate,5.40%
Census Tract 2951.03; Los Angeles County; California!!Male!!Margin of Error,±5.1
Census Tract 2951.03; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 2951.03; Los Angeles County; California!!Female!!Margin of Error,±4.8
Census Tract 2962.10; Los Angeles County; California!!Total!!Estimate,4.30%
Census Tract 2962.10; Los Angeles County; California!!Total!!Margin of Error,±4.0
Census Tract 2962.10; Los Angeles County; California!!Male!!Estimate,4.30%
Census Tract 2962.10; Los Angeles County; California!!Male!!Margin of Error,±4.8
Census Tract 2962.10; Los Angeles County; California!!Female!!Estimate,4.20%
Census Tract 2962.10; Los Angeles County; California!!Female!!Margin of Error,±5.9
Census Tract 2962.20; Los Angeles County; California!!Total!!Estimate,7.60%
Census Tract 2962.20; Los Angeles County; California!!Total!!Margin of Error,±8.0
Census Tract 2962.20; Los Angeles County; California!!Male!!Estimate,4.00%
Census Tract 2962.20; Los Angeles County; California!!Male!!Margin of Error,±5.2
Census Tract 2962.20; Los Angeles County; California!!Female!!Estimate,12.50%
Census Tract 2962.20; Los Angeles County; California!!Female!!Margin of Error,±12.7
Census Tract 2963; Los Angeles County; California!!Total!!Estimate,3.20%
Census Tract 2963; Los Angeles County; California!!Total!!Margin of Error,±3.2
Census Tract 2963; Los Angeles County; California!!Male!!Estimate,3.30%
Census Tract 2963; Los Angeles County; California!!Male!!Margin of Error,±4.6
Census Tract 2963; Los Angeles County; California!!Female!!Estimate,3.10%
Census Tract 2963; Los Angeles County; California!!Female!!Margin of Error,±3.7
Census Tract 2964.01; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 2964.01; Los Angeles County; California!!Total!!Margin of Error,±3.1
Census Tract 2964.01; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 2964.01; Los Angeles County; California!!Male!!Margin of Error,±5.9
Census Tract 2964.01; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 2964.01; Los Angeles County; California!!Female!!Margin of Error,±6.2
Census Tract 2964.02; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 2964.02; Los Angeles County; California!!Total!!Margin of Error,±2.8
Census Tract 2964.02; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 2964.02; Los Angeles County; California!!Male!!Margin of Error,±5.2
Census Tract 2964.02; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 2964.02; Los Angeles County; California!!Female!!Margin of Error,±6.1
Census Tract 2965; Los Angeles County; California!!Total!!Estimate,12.20%
Census Tract 2965; Los Angeles County; California!!Total!!Margin of Error,±9.5
Census Tract 2965; Los Angeles County; California!!Male!!Estimate,15.50%
Census Tract 2965; Los Angeles County; California!!Male!!Margin of Error,±12.3
Census Tract 2965; Los Angeles County; California!!Female!!Estimate,6.70%
Census Tract 2965; Los Angeles County; California!!Female!!Margin of Error,±7.6
Census Tract 2966; Los Angeles County; California!!Total!!Estimate,11.60%
Census Tract 2966; Los Angeles County; California!!Total!!Margin of Error,±14.6
Census Tract 2966; Los Angeles County; California!!Male!!Estimate,4.50%
Census Tract 2966; Los Angeles County; California!!Male!!Margin of Error,±5.0
Census Tract 2966; Los Angeles County; California!!Female!!Estimate,18.30%
Census Tract 2966; Los Angeles County; California!!Female!!Margin of Error,±25.8
Census Tract 2969.01; Los Angeles County; California!!Total!!Estimate,1.30%
Census Tract 2969.01; Los Angeles County; California!!Total!!Margin of Error,±1.3
Census Tract 2969.01; Los Angeles County; California!!Male!!Estimate,0.90%
Census Tract 2969.01; Los Angeles County; California!!Male!!Margin of Error,±1.4
Census Tract 2969.01; Los Angeles County; California!!Female!!Estimate,1.80%
Census Tract 2969.01; Los Angeles County; California!!Female!!Margin of Error,±2.3
Census Tract 2969.02; Los Angeles County; California!!Total!!Estimate,1.60%
Census Tract 2969.02; Los Angeles County; California!!Total!!Margin of Error,±2.1
Census Tract 2969.02; Los Angeles County; California!!Male!!Estimate,1.00%
Census Tract 2969.02; Los Angeles County; California!!Male!!Margin of Error,±1.6
Census Tract 2969.02; Los Angeles County; California!!Female!!Estimate,2.30%
Census Tract 2969.02; Los Angeles County; California!!Female!!Margin of Error,±3.0
Census Tract 2970.01; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 2970.01; Los Angeles County; California!!Total!!Margin of Error,±5.1
Census Tract 2970.01; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 2970.01; Los Angeles County; California!!Male!!Margin of Error,±9.6
Census Tract 2970.01; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 2970.01; Los Angeles County; California!!Female!!Margin of Error,±10.5
Census Tract 2970.02; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 2970.02; Los Angeles County; California!!Total!!Margin of Error,±1.8
Census Tract 2970.02; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 2970.02; Los Angeles County; California!!Male!!Margin of Error,±3.3
Census Tract 2970.02; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 2970.02; Los Angeles County; California!!Female!!Margin of Error,±3.8
Census Tract 2971.10; Los Angeles County; California!!Total!!Estimate,4.50%
Census Tract 2971.10; Los Angeles County; California!!Total!!Margin of Error,±3.2
Census Tract 2971.10; Los Angeles County; California!!Male!!Estimate,5.00%
Census Tract 2971.10; Los Angeles County; California!!Male!!Margin of Error,±4.0
Census Tract 2971.10; Los Angeles County; California!!Female!!Estimate,3.80%
Census Tract 2971.10; Los Angeles County; California!!Female!!Margin of Error,±5.3
Census Tract 2971.20; Los Angeles County; California!!Total!!Estimate,3.70%
Census Tract 2971.20; Los Angeles County; California!!Total!!Margin of Error,±3.7
Census Tract 2971.20; Los Angeles County; California!!Male!!Estimate,1.00%
Census Tract 2971.20; Los Angeles County; California!!Male!!Margin of Error,±1.6
Census Tract 2971.20; Los Angeles County; California!!Female!!Estimate,6.30%
Census Tract 2971.20; Los Angeles County; California!!Female!!Margin of Error,±6.1
Census Tract 2972.01; Los Angeles County; California!!Total!!Estimate,5.40%
Census Tract 2972.01; Los Angeles County; California!!Total!!Margin of Error,±6.0
Census Tract 2972.01; Los Angeles County; California!!Male!!Estimate,0.90%
Census Tract 2972.01; Los Angeles County; California!!Male!!Margin of Error,±1.4
Census Tract 2972.01; Los Angeles County; California!!Female!!Estimate,10.70%
Census Tract 2972.01; Los Angeles County; California!!Female!!Margin of Error,±12.8
Census Tract 2972.02; Los Angeles County; California!!Total!!Estimate,0.30%
Census Tract 2972.02; Los Angeles County; California!!Total!!Margin of Error,±0.5
Census Tract 2972.02; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 2972.02; Los Angeles County; California!!Male!!Margin of Error,±3.7
Census Tract 2972.02; Los Angeles County; California!!Female!!Estimate,0.80%
Census Tract 2972.02; Los Angeles County; California!!Female!!Margin of Error,±1.2
Census Tract 2973; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 2973; Los Angeles County; California!!Total!!Margin of Error,±5.6
Census Tract 2973; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 2973; Los Angeles County; California!!Male!!Margin of Error,±12.3
Census Tract 2973; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 2973; Los Angeles County; California!!Female!!Margin of Error,±9.8
Census Tract 2974; Los Angeles County; California!!Total!!Estimate,0.60%
Census Tract 2974; Los Angeles County; California!!Total!!Margin of Error,±1.0
Census Tract 2974; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 2974; Los Angeles County; California!!Male!!Margin of Error,±5.1
Census Tract 2974; Los Angeles County; California!!Female!!Estimate,1.30%
Census Tract 2974; Los Angeles County; California!!Female!!Margin of Error,±2.3
Census Tract 2975.01; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 2975.01; Los Angeles County; California!!Total!!Margin of Error,±2.8
Census Tract 2975.01; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 2975.01; Los Angeles County; California!!Male!!Margin of Error,±5.5
Census Tract 2975.01; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 2975.01; Los Angeles County; California!!Female!!Margin of Error,±5.5
Census Tract 2975.02; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 2975.02; Los Angeles County; California!!Total!!Margin of Error,±3.0
Census Tract 2975.02; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 2975.02; Los Angeles County; California!!Male!!Margin of Error,±5.6
Census Tract 2975.02; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 2975.02; Los Angeles County; California!!Female!!Margin of Error,±6.2
Census Tract 2976.01; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 2976.01; Los Angeles County; California!!Total!!Margin of Error,±2.5
Census Tract 2976.01; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 2976.01; Los Angeles County; California!!Male!!Margin of Error,±4.2
Census Tract 2976.01; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 2976.01; Los Angeles County; California!!Female!!Margin of Error,±5.9
Census Tract 2976.02; Los Angeles County; California!!Total!!Estimate,7.10%
Census Tract 2976.02; Los Angeles County; California!!Total!!Margin of Error,±4.2
Census Tract 2976.02; Los Angeles County; California!!Male!!Estimate,6.60%
Census Tract 2976.02; Los Angeles County; California!!Male!!Margin of Error,±5.9
Census Tract 2976.02; Los Angeles County; California!!Female!!Estimate,8.10%
Census Tract 2976.02; Los Angeles County; California!!Female!!Margin of Error,±6.9
Census Tract 3001; Los Angeles County; California!!Total!!Estimate,0.90%
Census Tract 3001; Los Angeles County; California!!Total!!Margin of Error,±1.4
Census Tract 3001; Los Angeles County; California!!Male!!Estimate,0.80%
Census Tract 3001; Los Angeles County; California!!Male!!Margin of Error,±1.2
Census Tract 3001; Los Angeles County; California!!Female!!Estimate,1.10%
Census Tract 3001; Los Angeles County; California!!Female!!Margin of Error,±1.7
Census Tract 3002; Los Angeles County; California!!Total!!Estimate,1.00%
Census Tract 3002; Los Angeles County; California!!Total!!Margin of Error,±1.6
Census Tract 3002; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 3002; Los Angeles County; California!!Male!!Margin of Error,±3.1
Census Tract 3002; Los Angeles County; California!!Female!!Estimate,2.10%
Census Tract 3002; Los Angeles County; California!!Female!!Margin of Error,±3.1
Census Tract 3003.01; Los Angeles County; California!!Total!!Estimate,0.40%
Census Tract 3003.01; Los Angeles County; California!!Total!!Margin of Error,±0.7
Census Tract 3003.01; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 3003.01; Los Angeles County; California!!Male!!Margin of Error,±2.7
Census Tract 3003.01; Los Angeles County; California!!Female!!Estimate,1.00%
Census Tract 3003.01; Los Angeles County; California!!Female!!Margin of Error,±1.6
Census Tract 3004; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 3004; Los Angeles County; California!!Total!!Margin of Error,±1.7
Census Tract 3004; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 3004; Los Angeles County; California!!Male!!Margin of Error,±3.5
Census Tract 3004; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 3004; Los Angeles County; California!!Female!!Margin of Error,±3.2
Census Tract 3005.01; Los Angeles County; California!!Total!!Estimate,4.80%
Census Tract 3005.01; Los Angeles County; California!!Total!!Margin of Error,±5.4
Census Tract 3005.01; Los Angeles County; California!!Male!!Estimate,6.70%
Census Tract 3005.01; Los Angeles County; California!!Male!!Margin of Error,±7.4
Census Tract 3005.01; Los Angeles County; California!!Female!!Estimate,2.70%
Census Tract 3005.01; Los Angeles County; California!!Female!!Margin of Error,±3.5
Census Tract 3005.03; Los Angeles County; California!!Total!!Estimate,1.20%
Census Tract 3005.03; Los Angeles County; California!!Total!!Margin of Error,±1.4
Census Tract 3005.03; Los Angeles County; California!!Male!!Estimate,1.00%
Census Tract 3005.03; Los Angeles County; California!!Male!!Margin of Error,±1.7
Census Tract 3005.03; Los Angeles County; California!!Female!!Estimate,1.20%
Census Tract 3005.03; Los Angeles County; California!!Female!!Margin of Error,±2.0
Census Tract 3006.01; Los Angeles County; California!!Total!!Estimate,1.60%
Census Tract 3006.01; Los Angeles County; California!!Total!!Margin of Error,±2.0
Census Tract 3006.01; Los Angeles County; California!!Male!!Estimate,2.20%
Census Tract 3006.01; Los Angeles County; California!!Male!!Margin of Error,±2.8
Census Tract 3006.01; Los Angeles County; California!!Female!!Estimate,0.90%
Census Tract 3006.01; Los Angeles County; California!!Female!!Margin of Error,±1.5
Census Tract 3006.02; Los Angeles County; California!!Total!!Estimate,0.70%
Census Tract 3006.02; Los Angeles County; California!!Total!!Margin of Error,±1.3
Census Tract 3006.02; Los Angeles County; California!!Male!!Estimate,0.70%
Census Tract 3006.02; Los Angeles County; California!!Male!!Margin of Error,±1.3
Census Tract 3006.02; Los Angeles County; California!!Female!!Estimate,0.70%
Census Tract 3006.02; Los Angeles County; California!!Female!!Margin of Error,±1.4
Census Tract 3007.01; Los Angeles County; California!!Total!!Estimate,0.70%
Census Tract 3007.01; Los Angeles County; California!!Total!!Margin of Error,±1.1
Census Tract 3007.01; Los Angeles County; California!!Male!!Estimate,1.40%
Census Tract 3007.01; Los Angeles County; California!!Male!!Margin of Error,±2.0
Census Tract 3007.01; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 3007.01; Los Angeles County; California!!Female!!Margin of Error,±3.5
Census Tract 3007.02; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 3007.02; Los Angeles County; California!!Total!!Margin of Error,±2.0
Census Tract 3007.02; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 3007.02; Los Angeles County; California!!Male!!Margin of Error,±3.3
Census Tract 3007.02; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 3007.02; Los Angeles County; California!!Female!!Margin of Error,±4.9
Census Tract 3008; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 3008; Los Angeles County; California!!Total!!Margin of Error,±1.3
Census Tract 3008; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 3008; Los Angeles County; California!!Male!!Margin of Error,±2.4
Census Tract 3008; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 3008; Los Angeles County; California!!Female!!Margin of Error,±2.8
Census Tract 3009.01; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 3009.01; Los Angeles County; California!!Total!!Margin of Error,±1.6
Census Tract 3009.01; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 3009.01; Los Angeles County; California!!Male!!Margin of Error,±2.9
Census Tract 3009.01; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 3009.01; Los Angeles County; California!!Female!!Margin of Error,±3.4
Census Tract 3009.02; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 3009.02; Los Angeles County; California!!Total!!Margin of Error,±4.2
Census Tract 3009.02; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 3009.02; Los Angeles County; California!!Male!!Margin of Error,±7.9
Census Tract 3009.02; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 3009.02; Los Angeles County; California!!Female!!Margin of Error,±8.5
Census Tract 3010; Los Angeles County; California!!Total!!Estimate,1.20%
Census Tract 3010; Los Angeles County; California!!Total!!Margin of Error,±1.0
Census Tract 3010; Los Angeles County; California!!Male!!Estimate,0.60%
Census Tract 3010; Los Angeles County; California!!Male!!Margin of Error,±1.0
Census Tract 3010; Los Angeles County; California!!Female!!Estimate,1.80%
Census Tract 3010; Los Angeles County; California!!Female!!Margin of Error,±1.4
Census Tract 3011; Los Angeles County; California!!Total!!Estimate,1.80%
Census Tract 3011; Los Angeles County; California!!Total!!Margin of Error,±3.3
Census Tract 3011; Los Angeles County; California!!Male!!Estimate,3.70%
Census Tract 3011; Los Angeles County; California!!Male!!Margin of Error,±6.6
Census Tract 3011; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 3011; Los Angeles County; California!!Female!!Margin of Error,±2.4
Census Tract 3012.03; Los Angeles County; California!!Total!!Estimate,0.80%
Census Tract 3012.03; Los Angeles County; California!!Total!!Margin of Error,±1.4
Census Tract 3012.03; Los Angeles County; California!!Male!!Estimate,1.00%
Census Tract 3012.03; Los Angeles County; California!!Male!!Margin of Error,±1.6
Census Tract 3012.03; Los Angeles County; California!!Female!!Estimate,0.70%
Census Tract 3012.03; Los Angeles County; California!!Female!!Margin of Error,±1.2
Census Tract 3012.04; Los Angeles County; California!!Total!!Estimate,1.10%
Census Tract 3012.04; Los Angeles County; California!!Total!!Margin of Error,±1.3
Census Tract 3012.04; Los Angeles County; California!!Male!!Estimate,1.40%
Census Tract 3012.04; Los Angeles County; California!!Male!!Margin of Error,±2.2
Census Tract 3012.04; Los Angeles County; California!!Female!!Estimate,0.80%
Census Tract 3012.04; Los Angeles County; California!!Female!!Margin of Error,±1.5
Census Tract 3012.05; Los Angeles County; California!!Total!!Estimate,1.60%
Census Tract 3012.05; Los Angeles County; California!!Total!!Margin of Error,±1.7
Census Tract 3012.05; Los Angeles County; California!!Male!!Estimate,2.20%
Census Tract 3012.05; Los Angeles County; California!!Male!!Margin of Error,±2.3
Census Tract 3012.05; Los Angeles County; California!!Female!!Estimate,0.90%
Census Tract 3012.05; Los Angeles County; California!!Female!!Margin of Error,±1.5
Census Tract 3012.06; Los Angeles County; California!!Total!!Estimate,1.40%
Census Tract 3012.06; Los Angeles County; California!!Total!!Margin of Error,±1.3
Census Tract 3012.06; Los Angeles County; California!!Male!!Estimate,1.60%
Census Tract 3012.06; Los Angeles County; California!!Male!!Margin of Error,±1.8
Census Tract 3012.06; Los Angeles County; California!!Female!!Estimate,1.20%
Census Tract 3012.06; Los Angeles County; California!!Female!!Margin of Error,±1.5
Census Tract 3013; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 3013; Los Angeles County; California!!Total!!Margin of Error,±4.5
Census Tract 3013; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 3013; Los Angeles County; California!!Male!!Margin of Error,±7.9
Census Tract 3013; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 3013; Los Angeles County; California!!Female!!Margin of Error,±10.0
Census Tract 3014; Los Angeles County; California!!Total!!Estimate,1.20%
Census Tract 3014; Los Angeles County; California!!Total!!Margin of Error,±1.4
Census Tract 3014; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 3014; Los Angeles County; California!!Male!!Margin of Error,±4.4
Census Tract 3014; Los Angeles County; California!!Female!!Estimate,2.40%
Census Tract 3014; Los Angeles County; California!!Female!!Margin of Error,±2.8
Census Tract 3015.01; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 3015.01; Los Angeles County; California!!Total!!Margin of Error,±5.0
Census Tract 3015.01; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 3015.01; Los Angeles County; California!!Male!!Margin of Error,±10.6
Census Tract 3015.01; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 3015.01; Los Angeles County; California!!Female!!Margin of Error,±8.9
Census Tract 3015.02; Los Angeles County; California!!Total!!Estimate,4.20%
Census Tract 3015.02; Los Angeles County; California!!Total!!Margin of Error,±4.4
Census Tract 3015.02; Los Angeles County; California!!Male!!Estimate,6.10%
Census Tract 3015.02; Los Angeles County; California!!Male!!Margin of Error,±5.6
Census Tract 3015.02; Los Angeles County; California!!Female!!Estimate,2.20%
Census Tract 3015.02; Los Angeles County; California!!Female!!Margin of Error,±3.5
Census Tract 3016.01; Los Angeles County; California!!Total!!Estimate,4.00%
Census Tract 3016.01; Los Angeles County; California!!Total!!Margin of Error,±3.2
Census Tract 3016.01; Los Angeles County; California!!Male!!Estimate,5.20%
Census Tract 3016.01; Los Angeles County; California!!Male!!Margin of Error,±4.2
Census Tract 3016.01; Los Angeles County; California!!Female!!Estimate,2.10%
Census Tract 3016.01; Los Angeles County; California!!Female!!Margin of Error,±3.2
Census Tract 3016.02; Los Angeles County; California!!Total!!Estimate,4.30%
Census Tract 3016.02; Los Angeles County; California!!Total!!Margin of Error,±4.2
Census Tract 3016.02; Los Angeles County; California!!Male!!Estimate,2.30%
Census Tract 3016.02; Los Angeles County; California!!Male!!Margin of Error,±2.7
Census Tract 3016.02; Los Angeles County; California!!Female!!Estimate,7.00%
Census Tract 3016.02; Los Angeles County; California!!Female!!Margin of Error,±8.2
Census Tract 3017.01; Los Angeles County; California!!Total!!Estimate,2.80%
Census Tract 3017.01; Los Angeles County; California!!Total!!Margin of Error,±3.5
Census Tract 3017.01; Los Angeles County; California!!Male!!Estimate,1.80%
Census Tract 3017.01; Los Angeles County; California!!Male!!Margin of Error,±2.9
Census Tract 3017.01; Los Angeles County; California!!Female!!Estimate,3.70%
Census Tract 3017.01; Los Angeles County; California!!Female!!Margin of Error,±5.8
Census Tract 3017.02; Los Angeles County; California!!Total!!Estimate,1.20%
Census Tract 3017.02; Los Angeles County; California!!Total!!Margin of Error,±2.0
Census Tract 3017.02; Los Angeles County; California!!Male!!Estimate,2.10%
Census Tract 3017.02; Los Angeles County; California!!Male!!Margin of Error,±3.7
Census Tract 3017.02; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 3017.02; Los Angeles County; California!!Female!!Margin of Error,±3.2
Census Tract 3018.01; Los Angeles County; California!!Total!!Estimate,4.00%
Census Tract 3018.01; Los Angeles County; California!!Total!!Margin of Error,±2.4
Census Tract 3018.01; Los Angeles County; California!!Male!!Estimate,4.60%
Census Tract 3018.01; Los Angeles County; California!!Male!!Margin of Error,±2.8
Census Tract 3018.01; Los Angeles County; California!!Female!!Estimate,3.40%
Census Tract 3018.01; Los Angeles County; California!!Female!!Margin of Error,±3.4
Census Tract 3018.02; Los Angeles County; California!!Total!!Estimate,3.10%
Census Tract 3018.02; Los Angeles County; California!!Total!!Margin of Error,±2.1
Census Tract 3018.02; Los Angeles County; California!!Male!!Estimate,2.60%
Census Tract 3018.02; Los Angeles County; California!!Male!!Margin of Error,±1.6
Census Tract 3018.02; Los Angeles County; California!!Female!!Estimate,3.70%
Census Tract 3018.02; Los Angeles County; California!!Female!!Margin of Error,±4.2
Census Tract 3019.01; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 3019.01; Los Angeles County; California!!Total!!Margin of Error,±2.2
Census Tract 3019.01; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 3019.01; Los Angeles County; California!!Male!!Margin of Error,±4.5
Census Tract 3019.01; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 3019.01; Los Angeles County; California!!Female!!Margin of Error,±4.3
Census Tract 3019.02; Los Angeles County; California!!Total!!Estimate,3.70%
Census Tract 3019.02; Los Angeles County; California!!Total!!Margin of Error,±5.6
Census Tract 3019.02; Los Angeles County; California!!Male!!Estimate,3.60%
Census Tract 3019.02; Los Angeles County; California!!Male!!Margin of Error,±5.4
Census Tract 3019.02; Los Angeles County; California!!Female!!Estimate,3.80%
Census Tract 3019.02; Los Angeles County; California!!Female!!Margin of Error,±6.1
Census Tract 3020.02; Los Angeles County; California!!Total!!Estimate,5.60%
Census Tract 3020.02; Los Angeles County; California!!Total!!Margin of Error,±3.5
Census Tract 3020.02; Los Angeles County; California!!Male!!Estimate,3.20%
Census Tract 3020.02; Los Angeles County; California!!Male!!Margin of Error,±2.5
Census Tract 3020.02; Los Angeles County; California!!Female!!Estimate,7.80%
Census Tract 3020.02; Los Angeles County; California!!Female!!Margin of Error,±5.9
Census Tract 3020.03; Los Angeles County; California!!Total!!Estimate,2.40%
Census Tract 3020.03; Los Angeles County; California!!Total!!Margin of Error,±2.1
Census Tract 3020.03; Los Angeles County; California!!Male!!Estimate,2.00%
Census Tract 3020.03; Los Angeles County; California!!Male!!Margin of Error,±2.3
Census Tract 3020.03; Los Angeles County; California!!Female!!Estimate,2.90%
Census Tract 3020.03; Los Angeles County; California!!Female!!Margin of Error,±3.3
Census Tract 3020.04; Los Angeles County; California!!Total!!Estimate,3.10%
Census Tract 3020.04; Los Angeles County; California!!Total!!Margin of Error,±4.3
Census Tract 3020.04; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 3020.04; Los Angeles County; California!!Male!!Margin of Error,±5.0
Census Tract 3020.04; Los Angeles County; California!!Female!!Estimate,5.90%
Census Tract 3020.04; Los Angeles County; California!!Female!!Margin of Error,±7.9
Census Tract 3021.02; Los Angeles County; California!!Total!!Estimate,3.60%
Census Tract 3021.02; Los Angeles County; California!!Total!!Margin of Error,±3.9
Census Tract 3021.02; Los Angeles County; California!!Male!!Estimate,5.50%
Census Tract 3021.02; Los Angeles County; California!!Male!!Margin of Error,±6.8
Census Tract 3021.02; Los Angeles County; California!!Female!!Estimate,1.40%
Census Tract 3021.02; Los Angeles County; California!!Female!!Margin of Error,±2.1
Census Tract 3021.03; Los Angeles County; California!!Total!!Estimate,2.40%
Census Tract 3021.03; Los Angeles County; California!!Total!!Margin of Error,±2.9
Census Tract 3021.03; Los Angeles County; California!!Male!!Estimate,0.90%
Census Tract 3021.03; Los Angeles County; California!!Male!!Margin of Error,±1.5
Census Tract 3021.03; Los Angeles County; California!!Female!!Estimate,4.00%
Census Tract 3021.03; Los Angeles County; California!!Female!!Margin of Error,±5.9
Census Tract 3021.04; Los Angeles County; California!!Total!!Estimate,3.80%
